id,title,description,ingredients,steps,prep_time,category,created_at
1,Hackbraten,Hack und Braten zusammen,200g Hackfleisch|100g Tomatensauce|200g Spaghetti|100ml Wasser,Hack zu einer Kugel formen|Hack in der Pfanne braten|Sauce hinzufügen|Nudeln kochen|Alles zusammen servieren,30,Hauptgericht,2025-11-10 13:21:13
2,Rührei mit Toast,Schnelles Frühstück für Eilige,3 Eier|2 Scheiben Toast|1 EL Butter|Salz und Pfeffer,Butter in der Pfanne erhitzen|Eier aufschlagen und verquirlen|In die Pfanne geben und rühren|Toast toasten|Mit Salz und Pfeffer würzen,10,Hauptgericht,2025-11-10 14:00:00
3,Käse-Toast,Klassischer überbackener Toast,2 Scheiben Toast|100g Käse gerieben|1 Tomate|Oregano,Toast leicht toasten|Tomatenscheiben auf Toast legen|Käse darüber streuen|Mit Oregano würzen|Im Ofen bei 180°C 5 Min backen,15,Snack,2025-11-10 14:05:00
4,Nudeln mit Pesto,Italienischer Klassiker,250g Nudeln|4 EL Pesto|Parmesan|Salz,Wasser zum Kochen bringen|Nudeln 8-10 Min kochen|Abgießen|Pesto untermischen|Mit Parmesan bestreuen,15,Hauptgericht,2025-11-10 14:10:00
5,Tomatensuppe,Wärmende Suppe aus der Dose,1 Dose Tomatensuppe 400ml|Sahne 50ml|Basilikum|1 Scheibe Brot,Tomatensuppe in Topf geben|Erhitzen bis sie kocht|Sahne einrühren|Mit Basilikum garnieren|Mit Brot servieren,10,Vorspeise,2025-11-10 14:15:00
6,Obstsalat,Frischer vitaminreicher Snack,1 Apfel|1 Banane|1 Orange|100g Weintrauben|1 EL Honig,Apfel waschen und würfeln|Banane schälen und in Scheiben schneiden|Orange schälen und teilen|Weintrauben halbieren|Alles mit Honig vermischen,10,Dessert,2025-11-10 14:20:00
7,Pancakes,Fluffige amerikanische Pfannkuchen,200g Mehl|2 Eier|250ml Milch|1 EL Zucker|Butter zum Braten,Mehl Eier Milch und Zucker verrühren|10 Min Teig ruhen lassen|Butter in Pfanne erhitzen|Kleine Portionen einbraten|Von beiden Seiten goldbraun braten,20,Dessert,2025-11-10 14:25:00
8,Avocado-Toast,Gesunder Trend-Snack,2 Scheiben Vollkornbrot|1 reife Avocado|Salz Pfeffer Zitrone|Chiliflocken optional,Brot toasten|Avocado halbieren und Kern entfernen|Mit Gabel zerdrücken|Mit Zitronensaft Salz und Pfeffer würzen|Auf Toast streichen,8,Snack,2025-11-10 14:30:00
9,Bananenshake,Cremiger Energiespender,2 Bananen|300ml Milch|1 EL Honig|Eiswürfel,Bananen schälen|Alle Zutaten in Mixer geben|30 Sekunden mixen|In Glas füllen|Sofort servieren,5,Getränk,2025-11-10 14:35:00
10,Ofenkartoffel,Einfache Beilage oder Hauptgericht,4 große Kartoffeln|Olivenöl|Salz|Sauerrahm 150g|Schnittlauch,Kartoffeln waschen und halbieren|Mit Olivenöl und Salz bestreichen|Bei 200°C 40 Min backen|Mit Sauerrahm und Schnittlauch servieren|Noch warm genießen,45,Hauptgericht,2025-11-10 14:40:00
11,Griechischer Joghurt mit Honig,Gesundes Dessert in 2 Minuten,250g griechischer Joghurt|2 EL Honig|Handvoll Walnüsse|Zimt,Joghurt in Schale geben|Honig darüber träufeln|Walnüsse grob hacken und darüber streuen|Mit Zimt bestäuben|Sofort genießen,5,Dessert,2025-11-10 14:45:00
12,Gemüsepfanne,Schnelle vegetarische Pfanne,1 Paprika|1 Zucchini|1 Karotte|1 Zwiebel|2 EL Öl,Gemüse waschen und schneiden|Öl in Pfanne erhitzen|Zwiebel anbraten|Gemüse hinzufügen|10 Min braten,20,Hauptgericht,2025-11-10 14:50:00
13,French Toast,Süßes Frühstück für besondere Tage,4 Scheiben Brot|2 Eier|100ml Milch|1 EL Zucker|Butter,Brot in Eiermilch tränken|Butter in Pfanne erhitzen|Brot von beiden Seiten goldbraun braten|Mit Zucker bestreuen|Warm servieren,15,Hauptgericht,2025-11-10 14:55:00
14,Caprese-Salat,Italienischer Vorspeisensalat,2 Tomaten|125g Mozzarella|Basilikum|Olivenöl|Balsamico,Tomaten in Scheiben schneiden|Mozzarella in Scheiben schneiden|Abwechselnd auf Teller anrichten|Mit Basilikum belegen|Mit Öl und Balsamico beträufeln,10,Vorspeise,2025-11-10 15:00:00
15,Hühnersuppe,Stärkende Suppe bei Erkältung,200g Hühnerfleisch|1 Karotte|1 Stange Lauch|2 L Wasser|Salz Pfeffer,Wasser zum Kochen bringen|Hühnerfleisch 20 Min kochen|Gemüse schneiden und hinzufügen|Weitere 15 Min köcheln|Würzen und servieren,40,Vorspeise,2025-11-10 15:05:00
16,Quinoa-Salat,Proteinreicher Powersalat,200g Quinoa|1 Gurke|1 Paprika|Feta-Käse|Zitronensaft,Quinoa nach Packungsanweisung kochen|Gemüse würfeln|Alles vermischen|Feta darüber bröckeln|Mit Zitronensaft abschmecken,25,Hauptgericht,2025-11-10 15:10:00
